Country.of.Origin,Harvest.Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
Kenya,2017,7.5,7.4775,7.3975,7.4575,7.5,7.5425,10.0,10.0,10.0,6.9375,81.8125
Laos,2015,7.545,7.585,7.335,7.375,7.46,7.5,10.0,10.0,10.0,7.54,82.33500000000001
Laos,2016,7.42,7.33,7.17,7.17,7.17,7.25,10.0,10.0,10.0,7.33,80.83
Malawi,2014,7.5672727272727265,7.387272727272728,7.257272727272727,7.408181818181817,7.338181818181818,7.371818181818182,10.0,10.0,10.0,7.379090909090909,81.71181818181819
Mauritius,2016,7.25,7.25,7.17,7.17,7.25,7.17,10.0,10.0,10.0,7.25,80.5
Mexico,2012,7.4459890109890114,7.362307692307692,7.217967032967033,7.411868131868132,7.374615384615385,7.307142857142858,9.75065934065934,9.622692307692308,9.974395604395603,7.301373626373626,80.76763736263736
Mexico,2013,7.491818181818181,7.381363636363636,7.238636363636363,7.481363636363636,7.371818181818182,7.341363636363636,9.817727272727273,9.848181818181818,10.0,7.291818181818181,81.26636363636364
Mexico,2014,7.4350000000000005,7.404285714285714,7.299285714285714,7.422857142857143,7.387857142857143,7.435714285714285,9.332857142857142,9.380714285714287,9.857142857142858,7.380714285714285,80.33357142857143
Mexico,2015,7.761666666666667,7.695,7.401666666666666,7.513333333333333,7.458333333333333,7.498333333333334,10.0,10.0,10.0,7.515000000000001,82.84833333333334
Mexico,2016,7.473333333333334,7.419999999999999,7.140000000000001,7.5,7.4433333333333325,7.083333333333333,10.0,10.0,10.0,7.363333333333333,81.41666666666667
Mexico,2017,7.645,7.58,7.3125,7.625,7.4375,7.415,9.8325,10.0,10.0,7.52,82.3775
Myanmar,2014,7.42,7.0,7.08,7.0,7.17,7.33,10.0,10.0,10.0,7.25,80.25
Myanmar,2015,7.2871428571428565,7.38,7.131428571428572,7.464285714285714,7.284285714285715,7.105714285714286,10.0,10.0,10.0,7.167142857142857,80.82142857142857
Nicaragua,2013,7.386666666666667,7.223333333333334,7.140000000000001,7.140000000000001,7.390000000000001,7.446666666666666,10.0,10.0,10.0,7.246666666666667,80.97333333333334
Nicaragua,2014,6.83,7.125,7.045,6.835,7.375,7.08,10.0,10.0,10.0,6.92,79.205
Nicaragua,2015,7.214285714285714,7.261428571428572,7.248571428571429,7.3342857142857145,7.392857142857143,7.284285714285715,10.0,10.0,10.0,7.285714285714286,81.02428571428571
Nicaragua,2016,7.285714285714286,7.1899999999999995,6.977142857142858,7.048571428571429,7.201428571428571,6.964285714285714,9.332857142857142,9.23857142857143,9.428571428571429,7.012857142857143,77.67714285714285
Nicaragua,2017,7.415,7.25,7.125,7.205,7.335,7.25,10.0,10.0,10.0,7.165,80.75
Panama,2012,7.42,7.42,7.5,7.58,7.5,7.75,10.0,10.0,10.0,7.58,82.75
Panama,2014,7.625,7.54,7.5,7.58,7.5,7.875,10.0,10.0,10.0,7.5,83.125
Panama,2017,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83
Papua New Guinea,2012,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75
Peru,2012,8.045,7.835,7.705,7.875,8.125,7.875,9.335,9.665,9.665,7.75,83.875
Peru,2013,7.566,7.566,7.465999999999999,7.648000000000001,7.651999999999999,7.55,9.598,10.0,10.0,7.484,82.534
Peru,2014,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,7.67,77.0
Peru,2017,7.92,7.5,7.5,7.58,7.67,7.5,10.0,10.0,10.0,7.5,83.17
Philippines,2012,6.83,6.5,6.5,6.92,6.75,7.0,9.33,10.0,9.33,6.67,75.83
Philippines,2014,7.47,7.359999999999999,7.446666666666666,7.276666666666666,7.413333333333334,7.5,10.0,10.0,10.0,7.333333333333333,81.80666666666667
Philippines,2015,7.58,7.58,7.67,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.92
Rwanda,2015,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8.0,82.83
Taiwan,2012,7.518000000000001,7.4319999999999995,7.316,7.434,7.5,7.5,9.732,9.866,10.0,7.3340000000000005,81.636
Taiwan,2013,7.080000000000001,7.109999999999999,7.196666666666666,7.223333333333334,7.223333333333334,7.140000000000001,10.0,10.0,10.0,7.140000000000001,80.11
Taiwan,2014,7.628235294117648,7.494705882352941,7.4417647058823535,7.3623529411764705,7.456470588235295,7.391176470588236,9.960588235294118,9.960588235294118,9.842941176470589,7.21,81.75058823529412
Taiwan,2015,7.711818181818182,7.713636363636363,7.552727272727273,7.65,7.696363636363636,7.613636363636363,9.817272727272726,10.0,10.0,7.757272727272727,83.51545454545455
Taiwan,2016,7.614545454545455,7.530909090909091,7.46090909090909,7.561818181818182,7.613636363636363,7.619999999999999,9.636363636363637,10.0,10.0,7.621818181818182,82.65818181818182
Taiwan,2017,7.25,7.17,7.21,7.375,7.25,7.25,10.0,10.0,10.0,7.21,80.71000000000001
"Tanzania, United Republic Of",2012,8.045,7.835,7.75,7.625,7.58,7.875,10.0,10.0,10.0,7.96,84.66499999999999
"Tanzania, United Republic Of",2013,7.33,7.33,7.5,7.25,7.42,7.33,10.0,10.0,10.0,7.5,81.67
"Tanzania, United Republic Of",2014,7.5564285714285715,7.423214285714286,7.425357142857143,7.5175,7.454642857142857,7.477857142857142,10.0,10.0,10.0,7.4696428571428575,82.32785714285714
"Tanzania, United Republic Of",2015,7.666666666666667,7.473333333333334,7.4433333333333325,7.473333333333334,7.53,7.473333333333334,10.0,10.0,10.0,7.5,82.55666666666667
"Tanzania, United Republic Of",2016,7.42,7.455,7.375,7.545,7.585,7.455,10.0,10.0,10.0,7.58,82.42
Thailand,2011,7.428333333333334,7.609999999999999,7.511666666666667,7.651666666666666,7.583333333333333,7.609999999999999,10.0,10.0,10.0,7.5683333333333325,82.97
Thailand,2012,7.648000000000001,7.5840000000000005,7.632,7.768000000000001,7.581999999999999,7.634,9.734,9.734,9.732,7.718000000000001,82.768
Thailand,2013,7.2925,7.3125,7.1675,7.5024999999999995,7.29,7.23,10.0,10.0,10.0,7.2275,81.02250000000001
Thailand,2014,7.4275,7.55125,7.46875,7.605,7.48,7.5325,9.91625,10.0,10.0,7.5625,82.5425
Thailand,2015,7.6875,7.7075,7.6875,7.585,7.8125,7.73,10.0,10.0,10.0,7.875,84.08500000000001
Uganda,2012,8.018,7.816,7.648000000000001,7.8340000000000005,7.8,7.766,10.0,10.0,10.0,7.734,84.61800000000001
Uganda,2013,7.91,7.7192307692307685,7.596923076923077,7.705384615384616,7.646923076923077,7.623076923076923,10.0,10.0,10.0,7.718461538461539,83.91692307692308
Uganda,2014,8.04,7.875,7.665,7.67,7.705,7.75,10.0,10.0,10.0,7.875,84.58500000000001
Uganda,2015,7.605,7.6675,7.48,7.5425,7.6475,7.5625,10.0,10.0,10.0,7.6675,83.1675
Uganda,2016,8.045,7.835,7.71,7.75,7.75,7.75,10.0,10.0,10.0,7.915,84.75
United States,2014,7.88625,8.13625,7.98875,8.06375,7.9375,7.9475,10.0,10.0,10.0,8.02125,85.97875
United States (Hawaii),2010,7.875,8.17,7.75,7.71,7.75,7.705,10.0,10.0,10.0,7.875,84.83500000000001
United States (Hawaii),2011,7.08,7.33,7.17,7.25,7.33,7.67,10.0,10.0,10.0,6.92,80.75
United States (Hawaii),2012,7.554615384615384,7.621538461538462,7.502307692307692,7.640769230769231,7.626153846153846,7.692692307692307,9.716923076923077,9.666923076923077,9.794615384615385,7.640384615384615,82.4573076923077
United States (Hawaii),2013,7.430909090909091,7.424545454545455,7.408181818181817,7.484545454545454,7.6054545454545455,7.585454545454545,9.393636363636363,9.574545454545454,9.393636363636363,7.424545454545455,80.72727272727273
United States (Hawaii),2014,7.461818181818182,7.3090909090909095,7.332727272727272,7.463636363636363,7.575454545454545,7.47,8.727272727272727,8.97090909090909,9.15090909090909,7.385454545454545,78.84818181818183
United States (Puerto Rico),2013,7.6475,7.54,7.48,7.6025,7.665,7.6475,9.0,9.665,9.8325,7.6475,81.72749999999999
Vietnam,2012,7.67,7.665,7.17,7.33,7.875,7.25,10.0,10.0,10.0,7.545,82.5
Vietnam,2014,7.333333333333333,7.4433333333333325,7.47,7.5,7.5566666666666675,7.473333333333334,9.776666666666666,10.0,10.0,7.973333333333334,82.52666666666666
Vietnam,2017,7.5,7.335,7.165,7.455,7.5,7.955,9.335,10.0,10.0,7.415,81.67
Zambia,2014,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,7.25,81.92
